Регион,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Добыча полезных ископаемых,Обрабатывающие производства,"Обеспечение электрическое энергией, газом и паром; кондиционирование воздуха","Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",Строи-тельство,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Транспортировка и хранение,Деятельность гостиниц и предприятий общественного питания,Деятельность в области информации и связи,Деятельность по операциям с недвижимым имуществом,Образо-вание,Деятельность в области здравоохранения и социальных услуг,Другие виды деятельности
Дальневосточный федеральный округ,29540.0,15614.0,34604.0,16458.0,4220.0,38402.0,72584.0,37980.0,9284.0,7174.0,10128.0,37980.0,29540.0,77226.0
Республика Бурятия,3420.7000000000003,779.4,4286.7,1515.5,346.40000000000003,2727.9,9439.4,3031.0,1082.5,649.5,909.3000000000001,3983.6,3507.2999999999997,7577.5
Республика Саха (Якутия),3356.7000000000003,5160.3,1753.5,2855.7000000000003,300.59999999999997,6262.5,5811.599999999999,4058.1,601.1999999999999,951.9,701.4,6312.599999999999,3507.0,8517.0
Забайкальский край,4305.0,2100.0,3517.5,2047.5,367.5,3412.5,8662.5,5040.0,997.5,997.5,1207.5,5722.5,4305.0,9817.5
Камчатский край,1656.2,400.40000000000003,1528.8,891.8000000000001,254.79999999999998,1237.6,2693.6,1183.0,364.0,236.6,400.40000000000003,1674.3999999999999,1328.6,4368.0
Приморский край,8891.1,999.0,11288.7,2997.0,1298.7,5694.3,20979.0,10189.8,2597.4,1798.2,2797.2,7792.2,6093.9,16683.3
Хабаровский край ,3088.8,1193.3999999999999,7581.6,2035.8,702.0,7651.8,12074.4,6247.8,1825.2,1193.3999999999999,1965.6,5756.4,4703.400000000001,14180.4
Амурская область,2448.0,1591.2,2448.0,1754.3999999999999,448.8,6283.2,6568.8,4039.2000000000003,734.4,693.6,816.0,3100.7999999999997,2733.6,7058.400000000001
Магаданская область,240.79999999999998,1229.8,266.6,550.4,60.199999999999996,593.4,1212.6,748.1999999999999,180.6,154.8,120.39999999999999,610.6,722.4,1909.2
Сахалинская область,1732.5,1045.0,1732.5,1017.5,302.5,3575.0,4290.0,2502.5,742.5,385.0,907.5,2145.0,2007.5,5087.5
Еврейская автономная область,616.0,238.70000000000002,623.6999999999999,300.3,84.7,492.8,1170.3999999999999,731.5,154.0,123.2,207.9,808.5,708.4,1447.6000000000001
Чукотский автономный округ,161.20000000000002,558.0,43.4,381.3,3.1,167.4,319.3,244.9,55.800000000000004,49.6,55.800000000000004,275.90000000000003,192.20000000000002,592.1
